cid,cntry,id
AW-00011000,Australia,1
AW-00011001,Australia,2
AW-00011002,Australia,3
AW-00011003,Australia,4
AW-00011004,Australia,5
AW-00011005,Australia,6
AW-00011006,Australia,7
AW-00011007,Australia,8
AW-00011008,Australia,9
AW-00011009,Australia,10
AW-00011010,Australia,11
AW-00011011,Australia,12
AW-00011012,US,13
AW-00011013,US,14
AW-00011014,US,15
AW-00011015,US,16
AW-00011016,US,17
AW-00011017,Australia,18
AW-00011018,Australia,19
AW-00011019,Canada,20
AW-00011020,Canada,21
AW-00011021,US,22
AW-00011022,US,23
AW-00011023,US,24
AW-00011024,US,25
AW-00011025,Australia,26
AW-00011026,Australia,27
AW-00011027,Australia,28
AW-00011028,Australia,29
AW-00011029,Australia,30
AW-00011030,Australia,31
AW-00011031,Australia,32
AW-00011032,Australia,33
AW-00011033,Australia,34
AW-00011034,Australia,35
AW-00011035,Australia,36
AW-00011036,US,37
AW-00011037,Canada,38
AW-00011038,Australia,39
AW-00011039,Australia,40
AW-00011040,US,41
AW-00011041,US,42
AW-00011042,US,43
AW-00011043,US,44
AW-00011044,Australia,45
AW-00011045,Australia,46
AW-00011046,Australia,47
AW-00011047,Australia,48
AW-00011048,Australia,49
AW-00011049,US,50
AW-00011050,Australia,51
AW-00011051,Australia,52
AW-00011052,Australia,53
AW-00011053,US,54
AW-00011054,Australia,55
AW-00011055,Australia,56
AW-00011056,Australia,57
AW-00011057,Australia,58
AW-00011058,Australia,59
AW-00011059,Australia,60
AW-00011060,Australia,61
AW-00011061,Australia,62
AW-00011062,US,63
AW-00011063,US,64
AW-00011064,US,65
AW-00011065,US,66
AW-00011066,US,67
AW-00011067,US,68
AW-00011068,Australia,69
AW-00011069,Australia,70
AW-00011070,Australia,71
AW-00011071,Australia,72
AW-00011072,Australia,73
AW-00011073,Australia,74
AW-00011074,Australia,75
AW-00011075,Australia,76
AW-00011076,Australia,77
AW-00011077,Australia,78
AW-00011078,Canada,79
AW-00011079,Australia,80
AW-00011080,Australia,81
AW-00011081,US,82
AW-00011082,US,83
AW-00011083,US,84
AW-00011084,US,85
AW-00011085,US,86
AW-00011086,US,87
AW-00011087,US,88
AW-00011088,US,89
AW-00011089,US,90
AW-00011090,US,91
AW-00011091,Canada,92
AW-00011092,Australia,93
AW-00011093,Australia,94
AW-00011094,Australia,95
AW-00011095,Australia,96
AW-00011096,Australia,97
AW-00011097,Australia,98
AW-00011098,Australia,99
AW-00011099,Australia,100
AW-00011100,Australia,101
AW-00011101,Australia,102
AW-00011102,Australia,103
AW-00011103,Australia,104
AW-00011104,Australia,105
AW-00011105,Australia,106
AW-00011106,Australia,107
AW-00011107,Australia,108
AW-00011108,Australia,109
AW-00011109,Australia,110
AW-00011110,Australia,111
AW-00011111,Australia,112
AW-00011112,Australia,113
AW-00011113,Australia,114
AW-00011114,Australia,115
AW-00011115,Australia,116
AW-00011116,Australia,117
AW-00011117,Australia,118
AW-00011118,Australia,119
AW-00011119,Australia,120
AW-00011120,Australia,121
AW-00011121,Australia,122
AW-00011122,Australia,123
AW-00011123,Australia,124
AW-00011124,Australia,125
AW-00011125,Australia,126
AW-00011126,Australia,127
AW-00011127,US,128
AW-00011128,US,129
AW-00011129,US,130
AW-00011130,US,131
AW-00011131,Canada,132
AW-00011132,Canada,133
AW-00011133,US,134
AW-00011134,Australia,135
AW-00011135,US,136
AW-00011136,Canada,137
AW-00011137,US,138
AW-00011138,US,139
AW-00011139,Australia,140
AW-00011140,US,141
AW-00011141,US,142
AW-00011142,Canada,143
AW-00011143,US,144
AW-00011144,US,145
AW-00011145,US,146
AW-00011146,Australia,147
AW-00011147,Australia,148
AW-00011148,Australia,149
AW-00011149,Australia,150
AW-00011150,Australia,151
AW-00011151,Australia,152
AW-00011152,US,153
AW-00011153,US,154
AW-00011154,US,155
AW-00011155,US,156
AW-00011156,US,157
AW-00011157,US,158
AW-00011158,US,159
AW-00011159,US,160
AW-00011160,US,161
AW-00011161,US,162
AW-00011162,US,163
AW-00011163,US,164
AW-00011164,US,165
AW-00011165,US,166
AW-00011166,US,167
AW-00011167,US,168
AW-00011168,US,169
AW-00011169,US,170
AW-00011170,US,171
AW-00011171,US,172
AW-00011172,US,173
AW-00011173,US,174
AW-00011174,US,175
AW-00011175,US,176
AW-00011176,Canada,177
AW-00011177,US,178
AW-00011178,US,179
AW-00011179,US,180
AW-00011180,US,181
AW-00011181,US,182
AW-00011182,US,183
AW-00011183,US,184
AW-00011184,US,185
AW-00011185,Canada,186
AW-00011186,US,187
AW-00011187,US,188
AW-00011188,US,189
AW-00011189,US,190
AW-00011190,US,191
AW-00011191,US,192
AW-00011192,US,193
AW-00011193,US,194
AW-00011194,US,195
AW-00011195,US,196
AW-00011196,US,197
AW-00011197,US,198
AW-00011198,US,199
AW-00011199,US,200
AW-00011200,Canada,201
AW-00011201,US,202
AW-00011202,US,203
AW-00011203,Canada,204
AW-00011204,US,205
AW-00011205,US,206
AW-00011206,US,207
AW-00011207,US,208
AW-00011208,US,209
AW-00011209,US,210
AW-00011210,US,211
AW-00011211,Canada,212
AW-00011212,Canada,213
AW-00011213,US,214
AW-00011214,US,215
AW-00011215,Canada,216
AW-00011216,US,217
AW-00011217,US,218
AW-00011218,US,219
AW-00011219,US,220
AW-00011220,US,221
AW-00011221,US,222
AW-00011222,US,223
AW-00011223,Canada,224
AW-00011224,US,225
AW-00011225,US,226
AW-00011226,US,227
AW-00011227,US,228
AW-00011228,US,229
AW-00011229,US,230
AW-00011230,US,231
AW-00011231,US,232
AW-00011232,US,233
AW-00011233,US,234
AW-00011234,US,235
AW-00011235,US,236
AW-00011236,US,237
AW-00011237,DE,238
AW-00011238,United Kingdom,239
AW-00011239,United Kingdom,240
AW-00011240,United Kingdom,241
AW-00011241,France,242
AW-00011242,France,243
AW-00011243,United Kingdom,244
AW-00011244,United Kingdom,245
AW-00011245,DE,246
AW-00011246,DE,247
AW-00011247,United Kingdom,248
AW-00011248,France,249
AW-00011249,DE,250
AW-00011250,United Kingdom,251
AW-00011251,Canada,252
AW-00011252,US,253
AW-00011253,Canada,254
AW-00011254,US,255
AW-00011255,US,256
AW-00011256,US,257
AW-00011257,US,258
AW-00011258,US,259
AW-00011259,US,260
AW-00011260,US,261
AW-00011261,US,262
AW-00011262,Canada,263
AW-00011263,US,264
AW-00011264,US,265
AW-00011265,US,266
AW-00011266,US,267
AW-00011267,US,268
AW-00011268,US,269
AW-00011269,US,270
AW-00011270,US,271
AW-00011271,US,272
AW-00011272,US,273
AW-00011273,US,274
AW-00011274,US,275
AW-00011275,US,276
AW-00011276,Canada,277
AW-00011277,Canada,278
AW-00011278,US,279
AW-00011279,US,280
AW-00011280,US,281
AW-00011281,US,282
AW-00011282,US,283
AW-00011283,US,284
AW-00011284,US,285
AW-00011285,US,286
AW-00011286,US,287
AW-00011287,Canada,288
AW-00011288,US,289
AW-00011289,US,290
AW-00011290,US,291
AW-00011291,US,292
AW-00011292,US,293
AW-00011293,US,294
AW-00011294,US,295
AW-00011295,US,296
AW-00011296,US,297
AW-00011297,US,298
AW-00011298,US,299
AW-00011299,US,300
AW-00011300,Canada,301
AW-00011301,US,302
AW-00011302,US,303
AW-00011303,US,304
AW-00011304,US,305
AW-00011305,US,306
AW-00011306,US,307
AW-00011307,US,308
AW-00011308,US,309
AW-00011309,US,310
AW-00011310,US,311
AW-00011311,US,312
AW-00011312,US,313
AW-00011313,US,314
AW-00011314,US,315
AW-00011315,US,316
AW-00011316,Canada,317
AW-00011317,US,318
AW-00011318,US,319
AW-00011319,US,320
AW-00011320,US,321
AW-00011321,US,322
AW-00011322,US,323
AW-00011323,US,324
AW-00011324,US,325
AW-00011325,US,326
AW-00011326,US,327
AW-00011327,US,328
AW-00011328,Canada,329
AW-00011329,US,330
AW-00011330,Canada,331
AW-00011331,Canada,332
AW-00011332,DE,333
AW-00011333,United Kingdom,334
AW-00011334,United Kingdom,335
AW-00011335,DE,336
AW-00011336,France,337
AW-00011337,United Kingdom,338
AW-00011338,DE,339
AW-00011339,France,340
AW-00011340,France,341
AW-00011341,United Kingdom,342
AW-00011342,France,343
AW-00011343,United Kingdom,344
AW-00011344,United Kingdom,345
AW-00011345,France,346
AW-00011346,France,347
AW-00011347,DE,348
AW-00011348,DE,349
AW-00011349,DE,350
AW-00011350,United Kingdom,351
AW-00011351,United Kingdom,352
AW-00011352,France,353
AW-00011353,United Kingdom,354
AW-00011354,DE,355
AW-00011355,United Kingdom,356
AW-00011356,Australia,357
AW-00011357,Australia,358
AW-00011358,Australia,359
AW-00011359,Australia,360
AW-00011360,Australia,361
AW-00011361,Australia,362
AW-00011362,Australia,363
AW-00011363,Australia,364
AW-00011364,Australia,365
AW-00011365,Australia,366
AW-00011366,Australia,367
AW-00011367,Australia,368
